Camera,Burrow,On,Off
101,113,03-May-2013 00:00,15-May-2013 10:15
101,113,15-May-2013 12:34,15-May-2013 17:19
101,113,15-May-2013 17:40,15-May-2013 18:40
101,113,16-May-2013 08:14,18-May-2013 12:06
101,402,03-Jun-2013 12:04,11-Jun-2013 08:28
101,402,11-Jun-2013 08:29,13-Jun-2013 10:04
102,205,03-May-2013 00:00,06-May-2013 16:20
102,205,06-May-2013 16:42,07-May-2013 14:26
102,40,07-May-2013 14:27,15-May-2013 10:15
102,40,15-May-2013 12:34,15-May-2013 17:19
102,40,15-May-2013 17:40,15-May-2013 18:40
102,40,16-May-2013 08:14,18-May-2013 12:15
102,40,11-Jun-2013 08:29,13-Jun-2013 10:04
103,48,03-May-2013 00:00,03-May-2013 10:34
103,48,03-May-2013 13:55,03-May-2013 16:05
103,48,03-May-2013 17:35,13-May-2013 09:34
103,48,13-May-2013 09:49,13-May-2013 11:11
103,48,13-May-2013 11:15,13-May-2013 13:23
103,48,13-May-2013 14:03,15-May-2013 10:15
103,48,15-May-2013 12:34,15-May-2013 17:19
103,48,15-May-2013 17:40,15-May-2013 18:40
103,48,16-May-2013 08:14,18-May-2013 12:06
103,330,03-Jun-2013 13:02,11-Jun-2013 08:28
103,330,11-Jun-2013 08:29,11-Jun-2013 17:00
103,330,11-Jun-2013 17:10,13-Jun-2013 10:04
104,66,03-May-2013 00:00,13-May-2013 09:34
104,66,13-May-2013 09:49,13-May-2013 11:11
104,66,13-May-2013 11:15,13-May-2013 13:23
104,66,13-May-2013 14:03,15-May-2013 10:15
104,66,15-May-2013 12:34,15-May-2013 17:19
104,66,15-May-2013 17:40,15-May-2013 18:40
104,66,16-May-2013 08:14,18-May-2013 12:06
104,66,11-Jun-2013 08:29,13-Jun-2013 10:04
104,66,25-Jun-2013 00:01,12-Jul-2013 23:59
105,309,03-May-2013 00:00,03-May-2013 11:19
105,309,03-May-2013 13:55,03-May-2013 15:41
105,329,03-May-2013 15:42,03-May-2013 15:43
105,329,04-May-2013 00:00,13-May-2013 09:34
105,329,13-May-2013 09:49,13-May-2013 11:11
105,329,13-May-2013 11:15,13-May-2013 13:35
105,329,13-May-2013 14:03,15-May-2013 10:15
105,329,15-May-2013 12:34,15-May-2013 17:21
105,329,15-May-2013 17:40,15-May-2013 18:40
105,329,16-May-2013 08:14,18-May-2013 12:06
105,329,11-Jun-2013 08:29,13-Jun-2013 10:04
105,329,25-Jun-2013 00:01,12-Jul-2013 23:59
106,220,03-May-2013 00:00,03-May-2013 11:19
106,220,03-May-2013 13:55,03-May-2013 15:58
106,265,03-May-2013 15:59,03-May-2013 17:13
106,265,03-May-2013 17:37,06-May-2013 16:20
106,265,06-May-2013 16:42,07-May-2013 14:09
106,213,07-May-2013 14:11,09-May-2013 11:46
106,99,09-May-2013 11:51,13-May-2013 09:34
106,99,13-May-2013 09:49,13-May-2013 11:11
106,99,13-May-2013 11:15,13-May-2013 13:23
106,99,13-May-2013 14:03,15-May-2013 10:15
106,99,15-May-2013 12:34,15-May-2013 17:21
106,99,15-May-2013 17:40,15-May-2013 18:40
106,99,16-May-2013 08:14,18-May-2013 11:45
106,99,11-Jun-2013 08:29,11-Jun-2013 17:00
106,99,11-Jun-2013 17:10,13-Jun-2013 10:04
106,99,25-Jun-2013 00:01,12-Jul-2013 23:59
107,65,03-May-2013 00:00,03-May-2013 00:00
107,65,05-May-2013 00:00,13-May-2013 09:37
107,65,13-May-2013 09:49,13-May-2013 11:10
107,65,13-May-2013 11:51,13-May-2013 13:22
107,65,13-May-2013 14:02,15-May-2013 10:15
107,65,15-May-2013 12:34,15-May-2013 17:21
107,65,15-May-2013 17:40,15-May-2013 18:40
107,65,16-May-2013 08:14,18-May-2013 12:05
107,65,11-Jun-2013 08:29,13-Jun-2013 10:04
108,278,03-May-2013 00:00,13-May-2013 09:37
108,278,13-May-2013 09:49,13-May-2013 11:10
108,278,13-May-2013 11:51,13-May-2013 13:22
108,278,13-May-2013 14:02,15-May-2013 10:15
108,278,15-May-2013 12:34,15-May-2013 17:21
108,278,15-May-2013 17:40,15-May-2013 18:40
108,278,16-May-2013 08:14,18-May-2013 12:12
108,336,03-Jun-2013 13:00,11-Jun-2013 08:28
108,336,11-Jun-2013 08:29,13-Jun-2013 10:04
109,276,03-May-2013 00:00,13-May-2013 09:37
109,276,13-May-2013 09:49,13-May-2013 11:10
109,276,13-May-2013 11:51,13-May-2013 13:22
109,276,13-May-2013 14:02,15-May-2013 10:15
109,276,15-May-2013 12:34,15-May-2013 17:20
109,276,15-May-2013 17:39,15-May-2013 18:40
109,276,16-May-2013 08:14,18-May-2013 12:00
109,276,11-Jun-2013 08:29,11-Jun-2013 17:00
109,276,11-Jun-2013 17:10,13-Jun-2013 10:04
109,276,27-Jun-2013 04:59,12-Jul-2013 23:59
110,133,03-May-2013 00:00,13-May-2013 17:28
110,22,13-May-2013 17:29,15-May-2013 10:17
110,22,15-May-2013 12:36,15-May-2013 18:39
110,22,16-May-2013 08:14,18-May-2013 11:00
110,24,18-May-2013 11:01,18-May-2013 11:50
110,24,11-Jun-2013 08:29,13-Jun-2013 10:04
110,360,16-Jun-2013 10:30,25-Jun-2013 10:31
110,419,25-Jun-2013 10:32,27-Jun-2013 04:52
110,419,27-Jun-2013 04:59,08-Jul-2013 16:38
110,419,08-Jul-2013 16:40,12-Jul-2013 23:59
111,312,03-May-2013 00:00,09-May-2013 12:03
111,292,09-May-2013 12:04,13-May-2013 09:37
111,292,13-May-2013 09:49,13-May-2013 11:10
111,292,13-May-2013 11:51,13-May-2013 13:22
111,292,13-May-2013 14:02,15-May-2013 10:15
111,292,15-May-2013 12:34,15-May-2013 17:20
111,292,15-May-2013 17:39,15-May-2013 18:40
111,292,16-May-2013 08:14,18-May-2013 11:52
111,407,10-Jun-2013 13:17,11-Jun-2013 08:28
111,407,11-Jun-2013 08:29,13-Jun-2013 10:04
111,407,13-Jun-2013 10:37,13-Jun-2013 10:37
111,407,25-Jun-2013 00:01,12-Jul-2013 23:59
112,47,03-May-2013 00:00,13-May-2013 09:41
112,47,13-May-2013 09:49,13-May-2013 11:10
112,47,13-May-2013 11:51,13-May-2013 13:27
112,47,13-May-2013 14:03,15-May-2013 10:15
112,47,15-May-2013 12:34,15-May-2013 17:20
112,47,15-May-2013 17:39,15-May-2013 18:40
112,47,16-May-2013 08:14,18-May-2013 12:05
112,47,11-Jun-2013 08:29,11-Jun-2013 11:44
112,48,11-Jun-2013 11:46,13-Jun-2013 10:04
112,48,13-Jun-2013 10:37,13-Jun-2013 10:37
112,48,25-Jun-2013 00:01,12-Jul-2013 23:59
113,244,04-May-2013 00:00,13-May-2013 09:41
113,244,13-May-2013 09:49,13-May-2013 11:10
113,244,13-May-2013 11:51,13-May-2013 13:27
113,244,13-May-2013 14:03,15-May-2013 10:15
113,244,15-May-2013 12:34,15-May-2013 17:20
113,244,15-May-2013 17:39,15-May-2013 18:40
113,244,16-May-2013 08:14,18-May-2013 12:16
113,244,11-Jun-2013 08:29,13-Jun-2013 10:04
113,244,13-Jun-2013 10:37,13-Jun-2013 10:37
113,244,25-Jun-2013 00:01,12-Jul-2013 23:59
114,125,03-May-2013 00:00,03-May-2013 11:16
114,125,03-May-2013 13:55,13-May-2013 09:41
114,125,13-May-2013 09:49,13-May-2013 11:10
114,125,13-May-2013 11:51,13-May-2013 13:27
114,125,13-May-2013 14:03,15-May-2013 10:15
114,125,15-May-2013 12:34,15-May-2013 17:20
114,125,15-May-2013 17:39,15-May-2013 18:40
114,125,16-May-2013 08:14,18-May-2013 11:47
114,125,19-May-2013 00:00,26-May-2013 16:34
114,158,11-Jun-2013 08:29,13-Jun-2013 10:04
115,79,03-May-2013 00:00,03-May-2013 11:17
115,79,03-May-2013 13:55,03-May-2013 17:07
115,79,03-May-2013 17:35,05-May-2013 00:00
115,79,06-May-2013 00:00,06-May-2013 16:20
115,79,06-May-2013 16:42,07-May-2013 14:14
115,42,07-May-2013 14:18,15-May-2013 10:15
115,42,15-May-2013 12:34,15-May-2013 17:20
115,42,15-May-2013 17:39,15-May-2013 18:40
115,42,16-May-2013 08:14,18-May-2013 11:52
115,42,11-Jun-2013 08:29,13-Jun-2013 10:04
116,321,03-May-2013 00:00,03-May-2013 11:17
116,321,03-May-2013 13:55,03-May-2013 16:00
116,282,03-May-2013 16:00,06-May-2013 16:20
116,282,06-May-2013 16:42,07-May-2013 14:06
116,311,27-May-2013 09:49,28-May-2013 13:50
116,311,29-May-2013 08:14,11-Jun-2013 08:28
116,311,11-Jun-2013 08:29,13-Jun-2013 10:04
116,331,15-Jun-2013 11:53,12-Jul-2013 23:59
117,198,03-May-2013 00:00,03-May-2013 11:17
117,198,03-May-2013 13:55,13-May-2013 09:41
117,198,13-May-2013 09:49,13-May-2013 11:10
117,198,13-May-2013 11:51,13-May-2013 13:27
117,198,13-May-2013 14:03,15-May-2013 10:15
117,198,15-May-2013 12:34,15-May-2013 17:20
117,198,15-May-2013 17:39,15-May-2013 18:40
117,198,16-May-2013 08:14,18-May-2013 11:50
117,30,03-Jun-2013 12:08,11-Jun-2013 08:28
117,30,11-Jun-2013 08:29,13-Jun-2013 10:04
117,405,14-Jun-2013 12:39,26-Jun-2013 09:16
117,405,26-Jun-2013 09:16,26-Jun-2013 09:17
117,420,26-Jun-2013 09:17,27-Jun-2013 04:52
117,420,27-Jun-2013 04:59,12-Jul-2013 23:59
118,199,03-May-2013 00:00,13-May-2013 09:35
118,199,13-May-2013 09:53,13-May-2013 11:10
118,199,13-May-2013 11:51,13-May-2013 13:35
118,199,13-May-2013 14:02,15-May-2013 10:15
118,199,15-May-2013 12:34,15-May-2013 17:20
118,199,15-May-2013 17:39,15-May-2013 18:40
118,199,16-May-2013 08:14,18-May-2013 12:00
118,199,11-Jun-2013 08:29,11-Jun-2013 17:00
118,199,11-Jun-2013 17:10,13-Jun-2013 10:04
118,199,13-Jun-2013 10:37,16-Jun-2013 10:27
118,361,16-Jun-2013 10:55,17-Jun-2013 13:48
118,361,18-Jun-2013 08:29,24-Jun-2013 08:20
118,361,25-Jun-2013 00:01,12-Jul-2013 23:59
119,172,04-May-2013 00:00,13-May-2013 09:35
119,172,13-May-2013 09:53,13-May-2013 11:10
119,172,13-May-2013 11:51,13-May-2013 13:35
119,172,13-May-2013 14:02,15-May-2013 10:15
119,172,15-May-2013 12:34,15-May-2013 17:20
119,172,15-May-2013 17:39,15-May-2013 18:41
119,172,16-May-2013 08:14,18-May-2013 11:50
119,172,11-Jun-2013 08:29,11-Jun-2013 17:00
119,172,11-Jun-2013 17:11,13-Jun-2013 10:04
119,172,25-Jun-2013 00:01,12-Jul-2013 23:59
120,325,03-May-2013 00:00,03-May-2013 11:17
120,325,03-May-2013 13:55,03-May-2013 17:12
120,325,03-May-2013 17:35,04-May-2013 15:57
120,333,04-May-2013 15:58,06-May-2013 16:20
120,333,06-May-2013 16:42,09-May-2013 11:45
120,220,09-May-2013 11:45,12-May-2013 09:10
120,130,12-May-2013 09:11,13-May-2013 09:35
120,130,13-May-2013 09:53,13-May-2013 11:10
120,130,13-May-2013 11:51,13-May-2013 13:35
120,130,13-May-2013 14:02,15-May-2013 10:17
120,130,15-May-2013 12:36,15-May-2013 18:39
120,130,16-May-2013 08:14,18-May-2013 10:24
120,283,18-May-2013 10:26,18-May-2013 12:17
120,396,29-May-2013 10:21,11-Jun-2013 08:28
120,396,11-Jun-2013 08:29,13-Jun-2013 10:04
120,386,15-Jun-2013 11:11,20-Jun-2013 12:17
120,386,20-Jun-2013 12:25,27-Jun-2013 04:52
120,386,27-Jun-2013 04:59,08-Jul-2013 16:38
120,386,08-Jul-2013 16:40,12-Jul-2013 23:59
121,112,03-May-2013 00:00,03-May-2013 11:17
121,112,03-May-2013 13:55,03-May-2013 15:33
121,109,03-May-2013 15:36,03-May-2013 17:12
121,109,03-May-2013 17:35,04-May-2013 16:52
121,110,05-May-2013 08:31,13-May-2013 09:35
121,110,13-May-2013 09:53,13-May-2013 11:10
121,110,13-May-2013 11:51,13-May-2013 13:35
121,110,13-May-2013 14:02,15-May-2013 10:15
121,110,15-May-2013 12:34,15-May-2013 17:20
121,110,15-May-2013 17:39,15-May-2013 18:41
121,110,16-May-2013 08:14,18-May-2013 11:11
121,240,18-May-2013 11:12,18-May-2013 12:17
121,240,11-Jun-2013 08:29,13-Jun-2013 10:04
121,240,25-Jun-2013 00:01,12-Jul-2013 23:59
122,200,03-May-2013 00:00,06-May-2013 16:20
122,200,06-May-2013 16:42,07-May-2013 14:19
122,209,07-May-2013 14:22,09-May-2013 12:16
122,372,09-May-2013 12:17,15-May-2013 10:15
122,372,15-May-2013 12:34,15-May-2013 17:20
122,372,15-May-2013 17:39,15-May-2013 18:41
122,372,16-May-2013 08:14,18-May-2013 11:56
122,372,11-Jun-2013 08:29,13-Jun-2013 10:04
122,372,25-Jun-2013 00:01,12-Jul-2013 23:59
123,275,03-May-2013 00:00,03-May-2013 11:17
123,275,03-May-2013 13:55,03-May-2013 15:39
123,277,03-May-2013 15:41,13-May-2013 09:19
123,277,13-May-2013 09:50,13-May-2013 11:09
123,277,13-May-2013 11:48,13-May-2013 13:23
123,277,13-May-2013 14:03,15-May-2013 10:17
123,277,15-May-2013 12:36,15-May-2013 18:39
123,277,16-May-2013 08:14,18-May-2013 10:46
123,162,18-May-2013 10:50,18-May-2013 11:47
123,162,11-Jun-2013 08:29,13-Jun-2013 10:04
123,162,21-Jun-2013 12:39,21-Jun-2013 12:39
123,162,25-Jun-2013 00:01,12-Jul-2013 23:59
124,257,04-May-2013 00:00,15-May-2013 10:15
124,257,15-May-2013 12:34,15-May-2013 17:20
124,257,15-May-2013 17:39,15-May-2013 18:41
124,257,16-May-2013 08:14,18-May-2013 11:58
124,257,11-Jun-2013 08:29,13-Jun-2013 10:04
124,257,13-Jun-2013 10:37,13-Jun-2013 10:37
124,257,25-Jun-2013 00:01,29-Jun-2013 11:07
124,198,29-Jun-2013 11:08,12-Jul-2013 23:59
125,109,29-Apr-2013 17:01,01-May-2013 15:02
125,272,01-May-2013 15:02,12-May-2013 11:35
125,350,29-May-2013 10:00,05-Jun-2013 15:10
125,350,06-Jun-2013 00:00,20-Jun-2013 05:00
125,416,20-Jun-2013 05:01,27-Jun-2013 04:58
125,416,27-Jun-2013 05:07,09-Jul-2013 14:30
126,116,29-Apr-2013 00:00,07-May-2013 14:19
126,112,07-May-2013 14:24,10-May-2013 15:23
126,298,10-May-2013 15:23,13-May-2013 17:06
127,308,29-Apr-2013 00:00,01-May-2013 16:02
127,258,13-Jun-2013 10:37,14-Jun-2013 11:38
127,404,14-Jun-2013 12:40,12-Jul-2013 23:59
128,263,29-Apr-2013 00:00,07-May-2013 13:59
128,191,11-Jun-2013 09:43,11-Jun-2013 17:01
128,191,11-Jun-2013 17:11,13-Jun-2013 10:05
128,191,13-Jun-2013 10:37,20-Jun-2013 12:17
128,191,20-Jun-2013 12:25,27-Jun-2013 04:58
128,191,27-Jun-2013 05:07,12-Jul-2013 23:59
129,248,29-Apr-2013 00:00,18-May-2013 10:37
129,173,11-Jun-2013 17:11,12-Jul-2013 23:59
130,243,29-Apr-2013 00:00,13-May-2013 16:16
130,75,13-May-2013 16:17,17-May-2013 09:48
130,75,28-May-2013 13:29,03-Jun-2013 12:20
130,398,13-Jun-2013 10:37,20-Jun-2013 12:17
130,398,20-Jun-2013 12:25,12-Jul-2013 23:59
131,18,29-Apr-2013 00:00,18-May-2013 10:58
131,381,11-Jun-2013 17:11,12-Jul-2013 23:59
132,179,29-Apr-2013 00:00,01-May-2013 09:38
132,341,11-Jun-2013 17:11,13-Jun-2013 10:05
132,341,13-Jun-2013 10:37,12-Jul-2013 23:59
133,293,16-Jun-2013 10:26,12-Jul-2013 23:59
134,391,13-Jun-2013 10:37,12-Jul-2013 23:59
135,353,26-May-2013 16:30,31-May-2013 09:24
135,250,15-Jun-2013 11:19,27-Jun-2013 04:58
135,250,27-Jun-2013 05:07,12-Jul-2013 23:59
136,218,29-Apr-2013 00:00,12-May-2013 09:06
136,218,26-May-2013 16:41,30-May-2013 15:52
136,138,06-Jun-2013 09:37,11-Jun-2013 08:40
136,138,11-Jun-2013 08:40,11-Jun-2013 19:28
136,339,11-Jun-2013 19:29,29-Jun-2013 10:42
136,138,29-Jun-2013 10:43,12-Jul-2013 23:59
137,250,28-May-2013 13:29,05-Jun-2013 19:30
137,249,15-Jun-2013 11:17,07-Jul-2013 10:04
137,249,07-Jul-2013 11:29,12-Jul-2013 23:59
138,54,13-Jun-2013 10:37,12-Jul-2013 23:59
139,269,29-Apr-2013 00:00,18-May-2013 10:19
139,191,28-May-2013 13:29,05-Jun-2013 19:14
139,338,13-Jun-2013 10:37,27-Jun-2013 04:58
139,338,27-Jun-2013 05:07,12-Jul-2013 23:59
140,72,28-May-2013 13:29,03-Jun-2013 12:16
140,73,13-Jun-2013 10:37,12-Jul-2013 23:59
141,166,29-Apr-2013 00:00,12-May-2013 11:46
141,167,13-Jun-2013 10:37,27-Jun-2013 04:59
141,167,27-Jun-2013 05:06,12-Jul-2013 23:59
142,326,29-Apr-2013 00:00,01-May-2013 09:33
142,340,11-Jun-2013 10:00,11-Jun-2013 17:01
142,340,11-Jun-2013 17:11,12-Jul-2013 23:59
143,343,11-Jun-2013 17:11,13-Jun-2013 10:06
143,343,13-Jun-2013 10:37,15-Jun-2013 11:00
143,410,15-Jun-2013 11:01,27-Jun-2013 04:59
143,410,27-Jun-2013 05:06,12-Jul-2013 23:59
144,259,29-Apr-2013 00:00,09-May-2013 12:29
144,145,09-May-2013 12:30,12-May-2013 11:30
145,84,27-May-2013 10:38,31-May-2013 09:27
145,269,31-May-2013 09:29,03-Jun-2013 12:44
145,345,13-Jun-2013 10:37,17-Jun-2013 10:29
145,413,17-Jun-2013 10:32,20-Jun-2013 10:33
145,269,20-Jun-2013 10:33,27-Jun-2013 04:59
145,269,27-Jun-2013 05:06,12-Jul-2013 23:59
146,28,29-Apr-2013 00:00,09-May-2013 12:31
146,362,16-Jun-2013 10:55,27-Jun-2013 04:59
146,362,27-Jun-2013 05:06,12-Jul-2013 23:59
147,58,11-Jun-2013 17:11,13-Jun-2013 10:05
